From,To,Sign
0,1,-2
0,2,3
0,6,-3
0,9,-1
0,11,1
0,13,2
1,0,3
1,3,-3
1,6,1
1,7,-2
1,11,2
1,12,-1
2,0,3
2,1,-2
2,3,-3
2,5,-2
2,12,2
2,15,-1
2,16,1
2,17,2
3,0,-2
3,1,-3
3,4,3
3,5,1
3,10,2
3,13,-1
4,3,3
4,8,1
4,10,2
5,1,-1
5,2,-3
5,3,3
5,4,1
5,6,-2
5,8,2
5,16,-2
6,1,3
6,3,-3
6,5,-2
6,7,-1
6,11,1
6,15,2
7,1,-3
7,2,-2
7,3,3
7,5,2
7,8,1
7,13,-1
8,2,-3
8,4,1
8,7,3
8,11,2
8,16,-2
8,17,-1
9,3,3
9,4,1
9,8,1
9,12,2
10,0,-1
10,1,-3
10,2,-2
10,4,2
10,7,3
10,13,1
11,0,3
11,1,2
11,6,1
12,1,-3
12,4,2
12,5,-2
12,6,1
12,11,-1
12,17,3
13,0,3
13,3,-3
13,7,-2
13,11,1
13,14,2
13,16,-1
14,1,3
14,2,-2
14,3,-1
14,6,1
14,11,2
14,12,-3
15,1,3
15,2,-1
15,3,-3
15,6,2
15,14,1
15,16,-2
16,1,1
16,2,2
16,3,-1
16,5,-3
16,7,-2
16,17,3
17,1,1
17,2,2
17,3,-1
17,7,-3
17,9,-2
17,16,3
