from,to,sign
0,2,-1
0,9,-1
0,10,1
0,12,1
0,13,1
0,15,-1
1,2,-1
1,3,1
1,4,1
1,9,-1
1,11,1
1,14,-1
2,1,-1
2,3,1
2,9,-1
2,11,1
2,15,-1
2,16,1
3,1,1
3,2,-1
3,7,-1
3,8,1
3,9,-1
3,16,1
4,0,1
4,2,-1
4,9,-1
4,12,1
4,15,-1
4,16,1
5,0,1
5,1,-1
5,7,1
5,9,-1
5,12,1
5,15,-1
6,3,1
6,5,-1
6,8,1
6,9,-1
6,11,1
6,15,-1
7,2,-1
7,4,1
7,5,1
7,6,-1
7,12,1
7,15,-1
8,3,1
8,5,1
8,7,-1
8,9,-1
8,15,-1
8,16,1
9,4,-1
9,11,1
9,12,-1
9,14,1
9,15,-1
9,16,1
10,5,-1
10,8,1
10,9,-1
10,11,1
10,14,-1
10,16,1
11,0,-1
11,1,1
11,5,-1
11,6,1
11,7,-1
11,8,1
12,0,1
12,1,-1
12,4,1
12,7,1
12,9,-1
12,15,-1
13,5,1
13,7,-1
13,8,1
13,11,1
13,12,-1
13,14,-1
14,0,-1
14,6,-1
14,7,-1
14,11,1
14,15,1
14,16,1
15,5,-1
15,7,-1
15,8,1
15,9,-1
15,11,1
15,13,1
16,1,-1
16,3,1
16,4,1
16,8,1
16,9,-1
16,15,-1
