from,to,sign
0,2,-1
0,6,-1
0,9,-1
0,10,1
0,12,1
0,13,1
1,3,1
1,7,-1
1,9,-1
1,14,-1
1,15,1
1,16,1
2,3,1
2,7,-1
2,9,-1
2,11,1
2,15,-1
2,16,1
3,1,1
3,2,-1
3,8,1
3,9,-1
3,13,-1
3,16,1
4,0,1
4,2,-1
4,6,-1
4,9,-1
4,12,1
4,16,1
5,0,1
5,1,-1
5,7,1
5,8,1
5,9,-1
5,10,-1
6,1,1
6,4,-1
6,5,-1
6,8,1
6,11,1
6,15,-1
7,2,-1
7,3,1
7,5,1
7,6,-1
7,12,1
7,15,-1
8,5,1
8,6,1
8,7,-1
8,9,-1
8,15,-1
8,16,1
9,3,-1
9,4,-1
9,6,1
9,10,-1
9,12,1
9,14,1
10,5,-1
10,7,-1
10,8,1
10,9,-1
10,11,1
10,16,1
11,0,-1
11,1,1
11,5,-1
11,6,1
11,7,-1
11,8,1
12,0,1
12,1,-1
12,2,-1
12,4,1
12,5,1
12,9,-1
13,0,1
13,7,-1
13,8,1
13,9,-1
13,12,-1
13,16,1
14,0,-1
14,1,1
14,3,1
14,6,-1
14,7,-1
14,9,1
15,0,-1
15,5,-1
15,7,-1
15,8,1
15,11,1
15,16,1
16,1,-1
16,3,1
16,4,1
16,8,1
16,9,-1
16,15,-1
