from,to,sign
0,7,-1
0,8,-1
0,9,-1
0,10,1
0,12,1
0,16,1
1,2,-1
1,3,1
1,6,1
1,7,-1
1,10,-1
1,15,1
2,7,-1
2,10,1
2,11,1
2,12,-1
2,15,-1
2,16,1
3,1,1
3,2,-1
3,4,-1
3,6,1
3,7,-1
3,16,1
4,0,-1
4,5,-1
4,10,1
4,11,1
4,13,-1
4,16,1
5,3,1
5,4,-1
5,7,1
5,9,-1
5,10,-1
5,12,1
6,0,-1
6,3,1
6,4,-1
6,11,1
6,12,-1
6,16,1
7,2,-1
7,5,1
7,6,-1
7,9,1
7,10,1
7,13,-1
8,1,-1
8,3,-1
8,7,-1
8,10,1
8,11,1
8,16,1
9,0,1
9,1,-1
9,3,-1
9,6,1
9,10,-1
9,14,1
10,5,-1
10,7,-1
10,8,1
10,11,1
10,13,-1
10,16,1
11,0,-1
11,2,1
11,5,-1
11,10,1
11,12,-1
11,16,1
12,0,1
12,1,-1
12,2,-1
12,5,1
12,7,-1
12,14,1
13,0,-1
13,6,1
13,7,-1
13,8,1
13,9,1
13,12,-1
14,0,-1
14,4,1
14,9,1
14,10,1
14,13,-1
14,15,-1
15,2,-1
15,3,1
15,5,-1
15,6,-1
15,8,1
15,10,1
16,1,-1
16,3,1
16,8,1
16,11,1
16,13,-1
16,14,-1
