from,to,sign
0,2,-1
0,7,1
0,9,-1
0,12,1
0,15,-1
0,16,1
1,3,1
1,8,1
1,9,-1
1,14,-1
1,15,-1
1,16,1
2,4,-1
2,9,-1
2,11,1
2,14,1
2,15,-1
2,16,1
3,2,-1
3,4,1
3,5,1
3,9,-1
3,14,-1
3,16,1
4,3,1
4,8,1
4,9,-1
4,12,1
4,14,-1
4,15,-1
5,2,-1
5,7,1
5,8,1
5,10,-1
5,12,1
5,15,-1
6,9,-1
6,11,1
6,13,1
6,14,-1
6,15,-1
6,16,1
7,0,1
7,2,-1
7,3,1
7,9,-1
7,12,1
7,15,-1
8,2,-1
8,5,1
8,9,-1
8,13,1
8,15,-1
8,16,1
9,0,1
9,2,-1
9,6,1
9,12,1
9,13,-1
9,15,-1
10,1,1
10,9,-1
10,11,1
10,14,-1
10,15,-1
10,16,1
11,1,1
11,5,-1
11,6,1
11,8,1
11,9,-1
11,14,-1
12,0,1
12,2,-1
12,5,1
12,7,1
12,9,-1
12,15,-1
13,4,-1
13,5,1
13,6,1
13,7,-1
13,8,1
13,15,-1
14,6,-1
14,8,1
14,9,-1
14,10,-1
14,11,1
14,16,1
15,3,1
15,7,-1
15,8,1
15,9,-1
15,11,1
15,12,-1
16,0,1
16,2,-1
16,3,1
16,8,1
16,9,-1
16,15,-1
