from,to,sign
0,2,-1
0,9,-1
0,12,1
0,13,1
0,15,-1
0,16,1
1,3,1
1,4,1
1,9,-1
1,14,-1
1,15,-1
1,16,1
2,5,1
2,9,-1
2,11,1
2,13,-1
2,15,-1
2,16,1
3,2,-1
3,4,1
3,5,1
3,9,-1
3,13,-1
3,16,1
4,3,1
4,8,1
4,9,-1
4,12,1
4,14,-1
4,15,-1
5,2,-1
5,3,1
5,7,1
5,8,1
5,9,-1
5,15,-1
6,4,-1
6,9,-1
6,10,1
6,11,1
6,15,-1
6,16,1
7,0,1
7,2,-1
7,3,1
7,9,-1
7,12,1
7,15,-1
8,3,1
8,5,1
8,9,-1
8,14,-1
8,15,-1
8,16,1
9,0,1
9,2,-1
9,6,1
9,11,1
9,12,-1
9,15,-1
10,1,1
10,7,-1
10,9,-1
10,11,1
10,15,-1
10,16,1
11,1,1
11,5,-1
11,6,1
11,8,1
11,9,-1
11,14,-1
12,0,1
12,2,-1
12,6,1
12,7,1
12,9,-1
12,15,-1
13,2,-1
13,4,-1
13,5,1
13,8,1
13,9,-1
13,10,1
14,3,1
14,4,-1
14,9,-1
14,10,-1
14,15,1
14,16,1
15,2,-1
15,3,1
15,7,-1
15,8,1
15,9,-1
15,11,1
16,1,1
16,2,-1
16,3,1
16,8,1
16,9,-1
16,15,-1
