from,to,sign
0,2,-1
0,5,1
0,9,-1
0,12,1
0,15,-1
0,16,1
1,2,-1
1,3,1
1,11,1
1,14,-1
1,15,-1
1,16,1
2,6,1
2,9,-1
2,11,1
2,14,-1
2,15,-1
2,16,1
3,1,1
3,2,-1
3,5,1
3,7,-1
3,9,-1
3,16,1
4,0,1
4,2,-1
4,8,1
4,12,1
4,14,-1
4,15,-1
5,0,1
5,7,1
5,9,-1
5,10,-1
5,12,1
5,15,-1
6,2,1
6,7,-1
6,10,1
6,11,1
6,14,-1
6,15,-1
7,0,1
7,2,-1
7,5,1
7,9,-1
7,13,1
7,15,-1
8,2,-1
8,5,1
8,9,-1
8,13,1
8,15,-1
8,16,1
9,2,-1
9,3,-1
9,7,1
9,11,1
9,15,-1
9,16,1
10,5,-1
10,8,1
10,11,1
10,14,-1
10,15,-1
10,16,1
11,1,1
11,5,-1
11,6,1
11,8,1
11,9,-1
11,14,-1
12,0,1
12,2,-1
12,4,1
12,5,1
12,9,-1
12,15,-1
13,0,1
13,2,-1
13,4,-1
13,8,1
13,11,1
13,14,-1
14,3,1
14,7,-1
14,9,-1
14,13,-1
14,15,1
14,16,1
15,0,-1
15,5,-1
15,8,1
15,9,-1
15,11,1
15,16,1
16,3,1
16,4,1
16,8,1
16,9,-1
16,13,-1
16,15,-1
